"","yr","mo.no.char","site","mo.no","mo.char","date","julian","rainfall","i","day","NDVI.wks.a","NDVI.wks.b","NDVI.MVC.mo","day.no","SOI.mean","SOI.max","SOI.min","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal","NAO.ann.mean","NAO.ann.max","NAO.ann.min","el.nino","nino.strt.str","nino.end.str","la.nino","nina.strt.str","nina.end.str"
"11",1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0100000000000001,-2.32666666666667,-0.62,0.49,-0.62,2.71,-3.15,NA,NA,NA,NA,NA,NA
"12",1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,-2.36333333333333,-0.0666666666666666,2.06333333333333,0.15,3.32,-3.62,NA,NA,NA,NA,NA,NA
"13",1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.243333333333333,0.396666666666667,-0.846666666666667,1.27333333333333,0.15,4.17,-2.89,NA,NA,NA,NA,NA,NA
"14",1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36666666666667,-1.04666666666667,-0.736666666666667,-0.623333333333333,-0.01,3.07,-2.38,NA,NA,NA,NA,NA,NA
"15",1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,-0.113333333333333,1.07,-1.02333333333333,0.42,3.37,-1.46,NA,NA,NA,NA,NA,NA
"16",1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.773333333333333,1.84666666666667,-0.18,0.93,4.33,-1.59,NA,NA,NA,NA,NA,NA
"17",1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143333333333333,-1.52,-0.74,1.74333333333333,-0.09,4.67,-3.08,NA,NA,NA,NA,NA,NA
"18",1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.913333333333333,-0.51,0.91,0.163333333333333,-0.09,2.55,-2.65,NA,NA,NA,NA,NA,NA
"19",1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07666666666667,0.156666666666667,0.756666666666667,-1.59666666666667,0.35,4.2,-2.89,NA,NA,NA,NA,NA,NA
"20",1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,0.0666666666666667,0.58,-1.49,-0.25,2.97,-3.05,NA,NA,NA,NA,NA,NA
"21",1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1.00333333333333,-0.33,-0.0533333333333333,0.18,2.41,-2.76,NA,NA,NA,NA,NA,NA
"22",1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,-1.86333333333333,-2.27333333333333,-1.96,-0.68,4.26,-4.3,NA,NA,NA,NA,NA,NA
"23",1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.603333333333333,-0.126666666666667,2.22333333333333,0.7,0.55,3.99,-3.51,NA,NA,NA,NA,NA,NA
"24",1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,0.34,-0.723333333333333,-0.97,-0.22,3.91,-2.77,NA,NA,NA,NA,NA,NA
"25",1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.553333333333333,-0.226666666666667,0.82,0.34,2.07,-0.97,NA,NA,NA,NA,NA,NA
"26",1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54666666666667,0.0733333333333333,0.453333333333333,-1.04333333333333,0.26,2.84,-2.55,NA,NA,NA,NA,NA,NA
"27",1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.486666666666667,0.89,0.52,1.55333333333333,0.62,2.46,-1.59,NA,NA,NA,NA,NA,NA
"28",1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,-0.703333333333333,0.653333333333333,-0.243333333333333,0.07,2.64,-2.55,NA,NA,NA,NA,NA,NA
"29",1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54333333333333,-1.57333333333333,-0.11,-0.173333333333333,-0.08,2.77,-3.21,NA,NA,NA,NA,NA,NA
"30",1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,0.07,-0.54,0.683333333333333,0.2,4.13,-2.7,NA,NA,NA,NA,NA,NA
"31",1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,-1.60333333333333,0.38,0.25,0.24,4.68,-5.39,NA,NA,NA,NA,NA,NA
"32",1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,-0.42,-0.07,-0.516666666666667,-0.3,2.94,-2.5,NA,NA,NA,NA,NA,NA
"33",1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01666666666667,-0.44,-0.273333333333333,-1.41333333333333,-0.79,1.76,-4.28,NA,NA,NA,NA,NA,NA
"34",1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.286666666666667,0.223333333333333,0.656666666666667,0.76,2.67,-1.92,NA,NA,NA,NA,NA,NA
"35",1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89666666666667,-0.17,0.663333333333333,-1.72333333333333,-0.78,3.81,-3.8,NA,NA,NA,NA,NA,NA
"36",1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20666666666667,1.11,-0.366666666666667,-0.266666666666667,-0.18,2.03,-2.27,NA,NA,NA,NA,NA,NA
"37",1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806666666666667,0.0166666666666667,2.53,0.543333333333333,0.97,5.36,-1.68,NA,NA,NA,NA,NA,NA
"38",1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.51,0.27,-1.08666666666667,-0.04,3.01,-4.41,NA,NA,NA,NA,NA,NA
"39",1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20333333333333,-0.603333333333333,1.39,-1.21,0.44,2.74,-2.61,NA,NA,NA,NA,NA,NA
"40",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,-1.4,-1.11666666666667,-1.1,-0.66,2.28,-3.44,NA,NA,NA,NA,NA,NA
"41",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667,-1.63,0.93,-1.21666666666667,-0.29,2.91,-1.99,NA,NA,NA,NA,NA,NA
"42",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.786666666666667,0.356666666666667,-1.67,1.39333333333333,-0.18,2.92,-2.25,NA,NA,NA,NA,NA,NA
"43",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03333333333333,0.09,0.71,1.06666666666667,0.98,3.1,-1.49,NA,NA,NA,NA,NA,NA
"44",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00666666666666675,0.0533333333333333,0.47,-2.27,-0.44,2.03,-6.05,NA,NA,NA,NA,NA,NA
"45",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.433333333333333,0.843333333333333,0.983333333333333,-0.0766666666666668,0.33,3.24,-2.66,NA,NA,NA,NA,NA,NA
"46",1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,-0.866666666666667,0.86,1.04,0.31,2.14,-2.1,NA,NA,NA,NA,NA,NA
"47",1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.523333333333333,-0.156666666666667,0.82,-0.443333333333333,-0.07,3.63,-3.03,NA,NA,NA,NA,NA,NA
"48",1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78333333333333,1.99,0.526666666666667,1.01666666666667,1.58,3.95,-2.65,NA,NA,NA,NA,NA,NA
"49",1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74666666666667,-0.0233333333333333,0.686666666666667,-0.23,0.54,3.9,-1.98,NA,NA,NA,NA,NA,NA
"50",1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24333333333333,1.67666666666667,-0.686666666666667,-1.42,-0.42,2.92,-3.52,NA,NA,NA,NA,NA,NA
"51",1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17666666666667,-1.39666666666667,1.33666666666667,-1.59666666666667,-0.12,4.19,-3.72,NA,NA,NA,NA,NA,NA
"52",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,-0.35,-2.52333333333333,-0.443333333333333,-0.8,1.15,-3.61,NA,NA,NA,NA,NA,NA
"53",1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696666666666667,-0.773333333333333,0.916666666666667,-0.343333333333333,0.12,3.44,-2.23,NA,NA,NA,NA,NA,NA
"54",1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.126666666666667,0.58,-0.533333333333333,0.47,2.99,-2.12,NA,NA,NA,NA,NA,NA
"55",1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00666666666666664,0.646666666666667,0.0866666666666667,-1.15666666666667,-0.11,2.06,-2.8,NA,NA,NA,NA,NA,NA
"56",1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,-0.136666666666667,0.626666666666667,-1.89,-0.22,3.48,-2.62,NA,NA,NA,NA,NA,NA
"57",1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,-1.45,-1.46333333333333,1.82333333333333,0.05,2.39,-3.74,NA,NA,NA,NA,NA,NA
"58",1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12333333333333,-0.27,-1.78,-2.74,-0.92,2.2,-3.47,NA,NA,NA,NA,NA,NA
"59",1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0766666666666667,0.0133333333333333,-1.56,-0.36,1.9,-3.38,NA,NA,NA,NA,NA,NA
"60",1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.11,-0.47,-0.496666666666667,-0.01,1.92,-3.2,NA,NA,NA,NA,NA,NA
"61",1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91,-0.196666666666667,0.756666666666667,1.69,0.09,4.34,-3.6,NA,NA,NA,NA,NA,NA
"62",1882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29333333333333,-0.58,1.35,0.323333333333333,1.09,3.61,-1.69,NA,NA,NA,NA,NA,NA
"63",1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,-0.47,0.406666666666667,1.65,0.64,4.25,-3.04,NA,NA,NA,NA,NA,NA
"64",1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66333333333333,-0.676666666666667,0.986666666666667,0.35,0.58,3.32,-2.36,NA,NA,NA,NA,NA,NA
"65",1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59,0.756666666666667,1.14666666666667,-0.543333333333333,0.19,3.07,-1.06,NA,NA,NA,NA,NA,NA
"66",1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.413333333333333,-1.07,0.166666666666667,0.04,-0.32,2.43,-1.59,NA,NA,NA,NA,NA,NA
"67",1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02666666666667,-0.536666666666667,-1.05666666666667,-2.00333333333333,-0.64,2.03,-3.25,NA,NA,NA,NA,NA,NA
"68",1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18,-0.993333333333333,1.19333333333333,1.02,0.01,4,-2.25,NA,NA,NA,NA,NA,NA
"69",1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186666666666667,0.85,0.256666666666667,1.25666666666667,0.64,3.78,-1.98,NA,NA,NA,NA,NA,NA
"70",1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.00333333333333336,1.26333333333333,-3.70074341541719e-17,0.6,4.32,-2.75,NA,NA,NA,NA,NA,NA
"71",1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636666666666667,-2.14666666666667,1.32333333333333,0.29,0.03,2.86,-3.74,NA,NA,NA,NA,NA,NA
"72",1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50333333333333,-0.726666666666667,0.983333333333333,-1.30666666666667,-0.64,1.61,-3.68,NA,NA,NA,NA,NA,NA
"73",1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296666666666667,-0.05,-0.663333333333333,0.00666666666666665,-0.1,2.54,-2.16,NA,NA,NA,NA,NA,NA
"74",1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15666666666667,1.12666666666667,-0.0333333333333333,0.22,0.87,3.95,-2.24,NA,NA,NA,NA,NA,NA
"75",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.34,0.226666666666667,1.36,-0.196666666666667,-0.24,1.92,-4.14,NA,NA,NA,NA,NA,NA
"76",1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16333333333333,0.46,0.27,-0.486666666666667,0.35,2.54,-2.77,NA,NA,NA,NA,NA,NA
"77",1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.78,1.28,0.256666666666667,0.85,4.28,-2.36,NA,NA,NA,NA,NA,NA
"78",1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513333333333333,0.696666666666667,0.62,0.283333333333333,0.53,3.56,-2.33,NA,NA,NA,NA,NA,NA
"79",1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33,-0.233333333333333,0.416666666666667,0.316666666666667,0.04,2.46,-1.5,NA,NA,NA,NA,NA,NA
"80",1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36666666666667,0.27,0.236666666666667,1.19333333333333,0.08,3.5,-3.12,NA,NA,NA,NA,NA,NA
"81",1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.836666666666667,0.676666666666667,-0.26,-1.19333333333333,-0.4,2.53,-2.58,NA,NA,NA,NA,NA,NA
"82",1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,-1.28333333333333,-0.976666666666667,0.353333333333333,-0.43,1.41,-3.25,NA,NA,NA,NA,NA,NA
"83",1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39666666666667,-1.15,1.44,-0.2,0.87,4.86,-2.8,NA,NA,NA,NA,NA,NA
"84",1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916666666666667,1.17333333333333,0.0466666666666667,0.33,0.62,2.64,-0.87,NA,NA,NA,NA,NA,NA
"85",1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04333333333333,-1.39333333333333,0.243333333333333,-0.5,0.1,2.23,-3.1,NA,NA,NA,NA,NA,NA
"86",1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21666666666667,-0.586666666666667,0.113333333333333,0.376666666666667,0.28,2.64,-1.75,NA,NA,NA,NA,NA,NA
"87",1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73666666666667,0.14,0.636666666666667,-0.273333333333333,0.56,2.41,-1.59,NA,NA,NA,NA,NA,NA
"88",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,0.333333333333333,0.556666666666667,0.5,0.63,1.98,-1.75,NA,NA,NA,NA,NA,NA
"89",1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,-0.736666666666667,1.21666666666667,-0.62,-0.1,2.59,-2.09,NA,NA,NA,NA,NA,NA
"90",1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32333333333333,-0.83,-0.826666666666667,-0.843333333333333,-0.05,3.85,-1.64,NA,NA,NA,NA,NA,NA
"91",1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.323333333333333,0.733333333333333,0.363333333333333,0.48,3.02,-1.88,NA,NA,NA,NA,NA,NA
"92",1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.206666666666667,-1.28666666666667,1.54333333333333,0.21,3,-2.51,NA,NA,NA,NA,NA,NA
"93",1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91666666666667,1.13333333333333,-1.01333333333333,1.45666666666667,0.87,4.62,-2.7,NA,NA,NA,NA,NA,NA
"94",1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58333333333333,1.61333333333333,0.0966666666666666,-0.0933333333333333,0.8,2.45,-1.41,NA,NA,NA,NA,NA,NA
"95",1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00333333333333329,-0.62,-1.47333333333333,-1.38333333333333,-0.87,2.91,-2.51,NA,NA,NA,NA,NA,NA
"96",1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,-0.993333333333333,-1.28333333333333,-0.0599999999999999,-0.42,3.82,-3.84,NA,NA,NA,NA,NA,NA
"97",1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62666666666667,-0.566666666666667,0.623333333333333,0.04,-0.38,2.47,-3.08,NA,NA,NA,NA,NA,NA
"98",1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25333333333333,-0.123333333333333,-0.126666666666667,1.04666666666667,0.51,3.87,-1.97,NA,NA,NA,NA,NA,NA
"99",1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25,1.64333333333333,0.476666666666667,-0.483333333333333,0.35,4.03,-2.24,NA,NA,NA,NA,NA,NA
"100",1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43666666666667,-0.256666666666667,0.353333333333333,-0.0433333333333333,0.62,3.08,-1.62,NA,NA,NA,NA,NA,NA
"101",1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98333333333333,-0.776666666666667,-0.83,0.246666666666667,0.16,3.2,-1.6,NA,NA,NA,NA,NA,NA
"102",1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12666666666667,1.31666666666667,0.483333333333333,-0.843333333333333,0.52,2.97,-3.95,NA,NA,NA,NA,NA,NA
"103",1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50333333333333,-0.103333333333333,1.65333333333333,0.206666666666667,0.82,2.77,-1.97,NA,NA,NA,NA,NA,NA
"104",1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,-1.19333333333333,0.636666666666667,1.38333333333333,-0.01,3.86,-2.09,NA,NA,NA,NA,NA,NA
"105",1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39333333333333,0.503333333333333,0.713333333333333,-1.43333333333333,0.29,4.23,-2.6,NA,NA,NA,NA,NA,NA
"106",1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36666666666667,-0.216666666666667,0.763333333333333,-1.51666666666667,0.1,2.33,-4.16,NA,NA,NA,NA,NA,NA
"107",1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,-0.746666666666667,-0.11,-2.14333333333333,-0.26,2.58,-3.14,NA,NA,NA,NA,NA,NA
